timestamp,model_type,subject,test_acc
20260423_184831,sinca_xs,1,0.8600694444444444
20260423_184916,sinca_xs,2,0.8466933457167832
20260423_185010,sinca_xs,3,0.9104886968085106
20260423_185137,sinca_xs,4,0.7833984375
20260423_185216,sinca_xs,5,0.8571039244186046
20260423_185313,sinca_xs,6,0.8080965372260015
20260423_185401,sinca_xs,7,0.773262593283582
20260423_185441,sinca_xs,8,0.9076726807381194
20260423_185517,sinca_xs,9,0.8815869854577241
20260423_185554,sinca_xs,10,0.8345584613869188
20260423_185732,sinca_xs,11,0.7060617380755119
20260423_185911,sinca_xs,1,0.8817708333333333
20260423_190249,sinca_s,1,0.8818576388888889
20260423_190401,sinca_s,2,0.8689289226398601
20260423_190459,sinca_s,3,0.9056091967314216
20260423_190559,sinca_s,4,0.77109375
20260423_190951,sinca_xs,1,0.8753472222222223
20260423_191035,sinca_xs,2,0.8429783107517482
20260423_191122,sinca_xs,3,0.9227892287234043
20260423_191215,sinca_xs,4,0.7728693181818183
20260423_191300,sinca_xs,5,0.8562863372093024
20260423_191346,sinca_xs,6,0.8049192767384732
20260423_191518,sinca_xs,1,0.8736979166666666
20260423_191642,sinca_xs,1,0.8703125
20260423_191731,sinca_xs,1,0.8807291666666667
20260423_191805,sinca_xs,2,0.8439002403846154
20260423_191907,sinca_xs,1,0.8746527777777777
20260423_192001,sinca_xs,2,0.8532697770979021
20260423_192103,sinca_xs,3,0.9078291223404256
20260423_192207,sinca_xs,4,0.776953125
20260423_192252,sinca_xs,5,0.8598292151162791
20260423_192351,sinca_xs,6,0.8014827806122449
20260423_192423,sinca_xs,7,0.7843983208955224
20260423_192450,sinca_xs,8,0.9114075139029323
20260423_192539,sinca_xs,9,0.8806805765257469
20260423_192639,sinca_xs,10,0.8590333185579196
20260423_192834,sinca_xs,11,0.7192641140963428
20260423_192947,sinca_xs,12,0.8262101715686274
20260423_193025,sinca_xs,13,0.7817366963171036
20260423_193127,sinca_xs,14,0.7438826650943396
20260423_193227,sinca_xs,15,0.8485606927397545
20260423_193312,sinca_xs,16,0.8139223974164134
20260423_193442,sinca_xs,17,0.8566460363643685
20260423_193546,sinca_xs,18,0.791590417158599
20260423_193655,sinca_xs,19,0.8337149784482759
20260423_193742,sinca_xs,20,0.8085520940832474
20260423_193836,sinca_xs,21,0.7384510869565217
20260423_193904,sinca_xs,22,0.803732942813538
20260423_194012,sinca_xs,23,0.8000799038820455
20260423_194119,sinca_xs,24,0.6899269742918719
20260423_194209,sinca_xs,25,0.8030523255813954
20260423_194338,sinca_xs,26,0.8179829766773785
20260423_194439,sinca_xs,27,0.78076171875
20260423_194625,sinca_xs,28,0.7118549636763529
20260423_194714,sinca_xs,29,0.8247242647058823
20260423_194853,sinca_xs,30,0.7558304052033493
20260423_194945,sinca_xs,31,0.7822550643241167
20260423_195026,sinca_xs,32,0.8183261241672835
20260423_195117,sinca_xs,33,0.8779994419642857
20260423_195218,sinca_xs,34,0.8525392065995278
20260423_195337,sinca_xs,35,0.7720009039256198
20260423_195437,sinca_xs,36,0.756430890175219
20260423_195541,sinca_xs,37,0.8635588568006387
20260423_195639,sinca_xs,38,0.8392370781454783
20260423_195739,sinca_xs,39,0.7794174188180718
20260423_195816,sinca_xs,40,0.9056082832544526
20260423_195907,sinca_xs,1,0.8815104166666666
20260423_195954,sinca_xs,2,0.8601808347902098
20260423_200049,sinca_xs,3,0.9081615691489362
20260423_200215,sinca_xs,4,0.7973307291666667
20260423_200259,sinca_xs,5,0.8570130813953488
20260423_200401,sinca_xs,6,0.8069967049319728
20260423_200504,sinca_xs,7,0.7829990671641791
20260423_200543,sinca_xs,8,0.8986365647118301
20260423_200611,sinca_xs,9,0.8900625297997458
20260423_200704,sinca_xs,10,0.8552963701733648
20260423_200828,sinca_xs,11,0.7245804791987217
20260423_200946,sinca_xs,12,0.8435968137254902
20260423_201022,sinca_xs,13,0.7999346519975031
20260423_201136,sinca_xs,14,0.7382075471698113
20260423_201220,sinca_xs,15,0.8555496053931766
20260423_201307,sinca_xs,16,0.8110657294832827
20260423_201404,sinca_xs,17,0.8601080511034149
20260423_201524,sinca_xs,18,0.8075705307949627
20260423_201627,sinca_xs,19,0.8424703663793104
20260423_201730,sinca_xs,20,0.8014652132782937
20260423_201825,sinca_xs,21,0.7499832947255881
20260423_201919,sinca_xs,22,0.7997968848191039
20260423_202031,sinca_xs,23,0.8100608902575588
20260423_202118,sinca_xs,24,0.6648995535714286
20260423_202208,sinca_xs,25,0.7871547965116279
20260423_202322,sinca_xs,26,0.8136959538416594
20260423_202418,sinca_xs,27,0.7725423177083334
20260423_202527,sinca_xs,28,0.7323364811050387
20260423_202614,sinca_xs,29,0.8334040346907994
